n,true_p,false_p,n_nodes,h,seed,lambda_param,method,shd,recall,precision,fdr,fpr
300,0.6,0.0,35,2,7331,0.2,with_constraint_tc,100,0.6528,0.379,0.621,0.1472
300,0.6,0.0,35,2,7331,0.2,no_constraint,102,0.6667,0.3721,0.6279,0.1549
300,0.6,0.0,35,2,104729,0.2,with_constraint_adj,151,0.8986,0.301,0.699,0.2738
300,0.6,0.0,35,2,104729,0.2,with_constraint_tc,87,0.6667,0.4107,0.5893,0.1255
300,0.6,0.0,35,2,104729,0.2,no_constraint,121,0.6522,0.3061,0.6939,0.1939
300,0.4,0.2,20,2,3407,0.5,with_constraint_adj,45,0.775,0.4493,0.5507,0.2533
300,0.4,0.2,20,2,3407,0.5,with_constraint_tc,23,0.65,0.7222,0.2778,0.0667
300,0.4,0.2,20,2,3407,0.5,no_constraint,26,0.725,0.6444,0.3556,0.1067
300,0.4,0.2,20,2,7331,0.5,with_constraint_adj,37,0.7714,0.4737,0.5263,0.1935
300,0.4,0.2,20,2,7331,0.5,with_constraint_tc,22,0.4857,0.8095,0.1905,0.0258
300,0.4,0.2,20,2,7331,0.5,no_constraint,22,0.7714,0.6429,0.3571,0.0968
300,0.4,0.2,20,2,104729,0.5,with_constraint_adj,39,0.871,0.4355,0.5645,0.2201
300,0.4,0.2,20,2,104729,0.5,with_constraint_tc,21,0.6774,0.6562,0.3438,0.0692
300,0.4,0.2,20,2,104729,0.5,no_constraint,28,0.7419,0.5227,0.4773,0.1321
300,0.4,0.0,20,2,3407,0.5,with_constraint_adj,41,0.825,0.4853,0.5147,0.2333
300,0.4,0.0,20,2,3407,0.5,with_constraint_tc,25,0.65,0.7027,0.2973,0.0733
300,0.4,0.0,20,2,3407,0.5,no_constraint,30,0.7,0.5714,0.4286,0.14
300,0.4,0.0,20,2,7331,0.5,with_constraint_adj,27,0.8,0.5833,0.4167,0.129
300,0.4,0.0,20,2,7331,0.5,with_constraint_tc,24,0.7429,0.6341,0.3659,0.0968
300,0.4,0.0,20,2,7331,0.5,no_constraint,28,0.7429,0.5532,0.4468,0.1355
300,0.4,0.0,20,2,104729,0.5,with_constraint_adj,31,0.8387,0.5,0.5,0.1635
300,0.4,0.0,20,2,104729,0.5,with_constraint_tc,22,0.7097,0.6286,0.3714,0.0818
300,0.4,0.0,20,2,104729,0.5,no_constraint,28,0.7419,0.5227,0.4773,0.1321
300,0.6,0.2,20,2,3407,0.5,with_constraint_adj,48,0.825,0.44,0.56,0.28
300,0.6,0.2,20,2,3407,0.5,with_constraint_tc,23,0.625,0.7143,0.2857,0.0667
300,0.6,0.2,20,2,3407,0.5,no_constraint,27,0.7,0.6087,0.3913,0.12
300,0.6,0.2,20,2,7331,0.5,with_constraint_adj,44,0.8857,0.4306,0.5694,0.2645
300,0.6,0.2,20,2,7331,0.5,with_constraint_tc,25,0.5714,0.6452,0.3548,0.071
300,0.6,0.2,20,2,7331,0.5,no_constraint,24,0.7143,0.6098,0.3902,0.1032
300,0.6,0.2,20,2,104729,0.5,with_constraint_adj,54,0.9032,0.3544,0.6456,0.3208
300,0.6,0.2,20,2,104729,0.5,with_constraint_tc,22,0.6774,0.6364,0.3636,0.0755
300,0.6,0.2,20,2,104729,0.5,no_constraint,27,0.7097,0.5366,0.4634,0.1195
300,0.6,0.0,20,2,3407,0.5,with_constraint_adj,46,0.875,0.4545,0.5455,0.28
300,0.6,0.0,20,2,3407,0.5,with_constraint_tc,25,0.675,0.675,0.325,0.0867
300,0.6,0.0,20,2,3407,0.5,no_constraint,21,0.725,0.725,0.275,0.0733
300,0.6,0.0,20,2,7331,0.5,with_constraint_adj,33,0.8857,0.5167,0.4833,0.1871
300,0.6,0.0,20,2,7331,0.5,with_constraint_tc,30,0.6,0.5676,0.4324,0.1032
300,0.6,0.0,20,2,7331,0.5,no_constraint,28,0.7429,0.5532,0.4468,0.1355
300,0.6,0.0,20,2,104729,0.5,with_constraint_adj,40,0.9032,0.4308,0.5692,0.2327
300,0.6,0.0,20,2,104729,0.5,with_constraint_tc,24,0.7097,0.5946,0.4054,0.0943
300,0.6,0.0,20,2,104729,0.5,no_constraint,26,0.7419,0.5476,0.4524,0.1195
300,0.4,0.2,35,2,3407,0.5,with_constraint_adj,167,0.8,0.2804,0.7196,0.2962
300,0.4,0.2,35,2,3407,0.5,with_constraint_tc,86,0.7067,0.4492,0.5508,0.125
300,0.4,0.2,35,2,3407,0.5,no_constraint,103,0.7867,0.396,0.604,0.1731
300,0.4,0.2,35,2,7331,0.5,with_constraint_adj,140,0.8472,0.3177,0.6823,0.2505
